public_run_id,agent_surface,condition,task_variant,repeat,connection_status,agent_exit_status,elapsed_seconds,event_lines,tool_call_signal_count,command_signal_count,file_artifact_mentions_count,visual_record_available,visual_evidence_valid,required_artifacts_missing_count
P1-001,Agent Surface A,continuity_enabled,task_a,1,0,0,3478,30,24,23,7,true,true,0
P1-002,Agent Surface A,continuity_enabled,task_a,2,0,0,3672,29,22,13,7,true,true,0
P1-003,Agent Surface A,continuity_enabled,task_a,3,0,0,3839,26,18,13,5,true,true,0
P1-004,Agent Surface A,continuity_enabled,task_a,4,0,0,4041,28,22,11,9,true,true,0
P1-005,Agent Surface A,continuity_enabled,task_a,5,0,0,4225,34,24,17,9,true,true,0
P1-006,Agent Surface A,continuity_enabled,task_b,1,0,0,4486,40,34,19,1,true,true,0
P1-007,Agent Surface A,continuity_enabled,task_b,2,0,0,105,29,24,13,8,true,true,0
P1-008,Agent Surface A,continuity_enabled,task_b,3,0,0,111,33,28,15,10,true,true,0
P1-009,Agent Surface A,continuity_enabled,task_b,4,0,0,126,36,30,13,11,true,true,0
P1-010,Agent Surface A,continuity_enabled,task_b,5,0,0,5496,29,24,9,1,true,true,0
P1-011,Agent Surface A,continuity_enabled,task_c,1,0,0,5781,29,22,15,7,true,true,0
P1-012,Agent Surface A,continuity_enabled,task_c,2,0,0,6037,34,24,15,10,true,true,0
P1-013,Agent Surface A,continuity_enabled,task_c,3,0,0,6459,26,16,5,11,true,true,0
P1-014,Agent Surface A,continuity_enabled,task_c,4,0,0,6622,31,20,5,11,true,true,0
P1-015,Agent Surface A,continuity_enabled,task_c,5,0,0,6788,30,20,13,3,true,true,0
P1-016,Agent Surface A,baseline,task_a,1,0,0,104,34,28,12,9,true,true,0
P1-017,Agent Surface A,baseline,task_a,2,0,0,482,32,26,8,1,true,true,0
P1-018,Agent Surface A,baseline,task_a,3,0,0,689,32,26,10,9,true,true,0
P1-019,Agent Surface A,baseline,task_a,4,0,0,113,36,30,15,9,true,true,0
P1-020,Agent Surface A,baseline,task_a,5,0,0,100,32,26,10,1,true,true,0
P1-021,Agent Surface A,baseline,task_b,1,0,0,1368,32,26,11,3,true,true,0
P1-022,Agent Surface A,baseline,task_b,2,0,0,1563,40,34,16,10,true,true,0
P1-023,Agent Surface A,baseline,task_b,3,0,0,1805,32,26,11,1,true,true,0
P1-024,Agent Surface A,baseline,task_b,4,0,0,2016,32,26,11,3,true,true,0
P1-025,Agent Surface A,baseline,task_b,5,0,0,87,29,24,7,9,true,true,0
P1-026,Agent Surface A,baseline,task_c,1,0,0,2555,32,26,11,9,true,true,0
P1-027,Agent Surface A,baseline,task_c,2,0,0,2713,31,26,11,2,true,true,0
P1-028,Agent Surface A,baseline,task_c,3,0,0,2898,33,26,11,1,true,true,0
P1-029,Agent Surface A,baseline,task_c,4,0,0,3080,33,26,11,4,true,true,0
P1-030,Agent Surface A,baseline,task_c,5,0,0,3228,31,26,11,3,true,true,0
P1-031,Agent Surface B,continuity_enabled,task_a,1,0,0,104,52,42,90,11,true,true,0
P1-032,Agent Surface B,continuity_enabled,task_a,2,0,0,11811,38,30,66,11,true,true,0
P1-033,Agent Surface B,continuity_enabled,task_a,3,0,0,11988,33,26,56,9,true,true,0
P1-034,Agent Surface B,continuity_enabled,task_a,4,0,0,12168,42,34,75,11,true,true,0
P1-035,Agent Surface B,continuity_enabled,task_a,5,0,0,12357,50,40,86,11,true,true,0
P1-036,Agent Surface B,continuity_enabled,task_b,1,0,0,96,48,40,86,11,true,true,0
P1-037,Agent Surface B,continuity_enabled,task_b,2,0,0,12757,48,40,86,12,true,true,0
P1-038,Agent Surface B,continuity_enabled,task_b,3,0,0,12942,50,40,88,12,true,true,0
P1-039,Agent Surface B,continuity_enabled,task_b,4,0,0,13147,58,48,103,11,true,true,0
P1-040,Agent Surface B,continuity_enabled,task_b,5,0,0,13306,34,26,56,12,true,true,0
P1-041,Agent Surface B,continuity_enabled,task_c,1,0,0,101,58,50,106,8,true,true,0
P1-042,Agent Surface B,continuity_enabled,task_c,2,0,0,81,42,34,73,9,true,true,0
P1-043,Agent Surface B,continuity_enabled,task_c,3,0,0,14021,50,42,91,14,true,true,0
P1-044,Agent Surface B,continuity_enabled,task_c,4,0,0,14243,47,38,80,12,true,true,0
P1-045,Agent Surface B,continuity_enabled,task_c,5,0,0,14506,58,50,110,10,true,true,0
P1-046,Agent Surface B,baseline,task_a,1,0,0,6957,39,32,66,9,true,true,0
P1-047,Agent Surface B,baseline,task_a,2,0,0,80,43,36,72,9,true,true,0
P1-048,Agent Surface B,baseline,task_a,3,0,0,7698,37,30,64,6,true,true,0
P1-049,Agent Surface B,baseline,task_a,4,0,0,7875,40,32,66,10,true,true,0
P1-050,Agent Surface B,baseline,task_a,5,0,0,8050,40,32,66,9,true,true,0
P1-051,Agent Surface B,baseline,task_b,1,0,0,8274,53,44,92,9,true,true,0
P1-052,Agent Surface B,baseline,task_b,2,0,0,115,61,52,109,9,true,true,0
P1-053,Agent Surface B,baseline,task_b,3,0,0,9550,54,46,94,10,true,true,0
P1-054,Agent Surface B,baseline,task_b,4,0,0,9726,44,36,76,10,true,true,0
P1-055,Agent Surface B,baseline,task_b,5,0,0,9969,65,56,112,9,true,true,0
P1-056,Agent Surface B,baseline,task_c,1,0,0,100,49,40,82,9,true,true,0
P1-057,Agent Surface B,baseline,task_c,2,0,0,134,60,50,103,9,true,true,0
P1-058,Agent Surface B,baseline,task_c,3,0,0,10926,43,36,72,10,true,true,0
P1-059,Agent Surface B,baseline,task_c,4,0,0,11076,26,20,40,6,true,true,0
P1-060,Agent Surface B,baseline,task_c,5,0,0,11302,63,54,110,10,true,true,0
P1-061,Agent Surface C,continuity_enabled,task_a,1,0,0,94,3234,0,0,1,true,true,0
P1-062,Agent Surface C,continuity_enabled,task_a,2,0,0,89,3470,0,0,1,true,true,0
P1-063,Agent Surface C,continuity_enabled,task_a,3,0,0,89,3815,0,0,2,true,true,0
P1-064,Agent Surface C,continuity_enabled,task_a,4,0,0,74,3104,0,0,5,true,true,0
P1-065,Agent Surface C,continuity_enabled,task_a,5,0,0,85,2689,0,0,5,true,true,0
P1-066,Agent Surface C,continuity_enabled,task_b,1,0,0,70,3751,0,0,3,true,true,0
P1-067,Agent Surface C,continuity_enabled,task_b,2,0,0,94,3185,0,0,2,true,true,0
P1-068,Agent Surface C,continuity_enabled,task_b,3,0,0,80,3117,0,0,1,true,true,0
P1-069,Agent Surface C,continuity_enabled,task_b,4,0,0,88,3452,0,0,3,true,true,0
P1-070,Agent Surface C,continuity_enabled,task_b,5,0,0,63,2662,0,1,1,true,true,0
P1-071,Agent Surface C,continuity_enabled,task_c,1,0,0,77,3201,0,0,4,true,true,0
P1-072,Agent Surface C,continuity_enabled,task_c,2,0,0,80,2739,0,0,1,true,true,0
P1-073,Agent Surface C,continuity_enabled,task_c,3,0,0,77,2774,0,0,0,true,true,0
P1-074,Agent Surface C,continuity_enabled,task_c,4,0,0,89,3093,0,1,1,true,true,0
P1-075,Agent Surface C,continuity_enabled,task_c,5,0,0,74,3113,0,0,0,true,true,0
P1-076,Agent Surface C,baseline,task_a,1,0,0,15055,3315,0,1,11,true,true,0
P1-077,Agent Surface C,baseline,task_a,2,0,0,15284,3495,0,0,1,true,true,0
P1-078,Agent Surface C,baseline,task_a,3,0,0,15492,2554,0,0,4,true,true,0
P1-079,Agent Surface C,baseline,task_a,4,0,0,15816,3475,0,0,3,true,true,0
P1-080,Agent Surface C,baseline,task_a,5,0,0,16029,3212,0,0,2,true,true,0
P1-081,Agent Surface C,baseline,task_b,1,0,0,16186,3130,0,0,1,true,true,0
P1-082,Agent Surface C,baseline,task_b,2,0,0,16325,2655,0,0,0,true,true,0
P1-083,Agent Surface C,baseline,task_b,3,0,0,16542,3226,0,0,3,true,true,0
P1-084,Agent Surface C,baseline,task_b,4,0,0,16724,3083,0,2,0,true,true,0
P1-085,Agent Surface C,baseline,task_b,5,0,0,17002,3047,0,1,2,true,true,0
P1-086,Agent Surface C,baseline,task_c,1,0,0,65,2502,0,0,0,true,true,0
P1-087,Agent Surface C,baseline,task_c,2,0,0,102,3519,0,0,3,true,true,0
P1-088,Agent Surface C,baseline,task_c,3,0,0,84,3148,0,1,0,true,true,0
P1-089,Agent Surface C,baseline,task_c,4,0,0,91,3103,0,1,0,true,true,0
P1-090,Agent Surface C,baseline,task_c,5,0,0,65,2410,0,2,0,true,true,0
